fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
11.1;0.51;0.11;4.5;0.04;14.1;45.2;0.99;3.34;0.66;11.2;6
9.2;0.36;0.18;3.1;0.084;5.9;19.3;0.991;3.41;0.74;11.1;6
10.3;0.54;0.27;2.5;0.013;1.0;6.0;0.99;3.28;0.63;11.7;6
6.8;0.55;0.12;1.9;0.104;3.1;6.0;0.99;3.14;0.73;11.2;6
7.2;0.39;0.52;2.7;0.035;24.9;78.3;0.99;3.51;0.67;12.9;7
7.2;0.46;0.36;2.0;0.074;12.5;54.0;0.99;3.46;0.82;10.5;6
8.2;0.47;0.25;4.5;0.07;9.5;15.0;0.99;3.27;0.59;11.0;5
8.4;0.35;0.25;3.0;0.1;8.4;45.6;0.99;3.35;0.77;11.6;6
8.9;0.72;0.19;6.2;0.061;16.8;55.4;0.9912;3.5;0.52;10.7;5
11.7;0.46;0.05;3.0;0.059;13.4;39.2;0.99;3.44;0.73;8.7;5
9.5;0.71;0.08;1.7;0.154;13.0;52.9;0.99;3.09;0.55;10.9;5
7.4;0.53;0.41;5.8;0.1;30.0;119.9;0.99;3.35;0.63;11.3;4
8.3;0.46;0.47;3.0;0.061;32.0;123.2;0.99;3.28;0.85;12.4;7
10.9;0.37;0.22;1.6;0.075;1.0;8.5;0.99;3.48;0.68;11.7;6
9.6;0.53;0.37;3.4;0.164;19.3;78.4;0.99;3.46;0.6;10.5;6
10.8;0.52;0.3;2.1;0.076;7.7;9.8;0.99;3.51;0.7;11.3;5
7.5;0.52;0.31;5.7;0.055;13.3;41.3;0.99;3.14;0.57;10.5;5
7.1;0.61;0.11;2.5;0.055;19.1;57.7;0.99;3.19;0.61;11.3;5
7.1;0.5;0.07;4.2;0.061;13.6;59.8;0.99;3.48;0.68;11.1;5
7.6;0.34;0.4;1.3;0.059;18.3;60.2;0.9904;3.22;0.84;10.6;6
6.5;0.56;0.08;2.3;0.027;22.9;88.6;0.99;3.08;0.7;10.7;6
8.8;0.37;0.27;11.2;0.034;19.0;71.9;0.99;3.39;0.7;11.7;6
8.8;0.6;0.21;5.1;0.048;9.1;23.2;0.99;3.23;0.72;10.8;5
10.6;0.51;0.26;1.4;0.115;9.3;26.7;0.99;3.58;0.76;11.1;7
5.3;0.44;0.31;1.8;0.069;1.0;16.4;0.99;3.35;0.76;10.7;6
6.7;0.6;0.21;2.0;0.077;6.9;16.4;0.99;3.33;0.81;11.2;6
9.7;0.53;0.32;3.6;0.147;36.4;128.6;0.99;3.25;0.67;12.7;6
8.6;0.48;0.26;4.5;0.148;7.6;18.8;0.99;3.55;0.33;10.6;5
8.4;0.69;0.46;4.5;0.074;3.4;8.8;0.99;3.36;0.57;11.0;5
10.4;0.44;0.11;2.8;0.057;19.2;66.7;0.99;3.25;0.77;11.1;5
6.6;0.44;0.28;5.2;0.046;14.7;43.6;0.99;3.19;0.7;10.5;6
7.1;0.6;0.26;2.4;0.12;13.8;38.7;0.99;3.3;0.57;9.2;4
6.9;0.61;0.22;1.3;0.077;30.6;110.0;0.99;3.16;0.77;10.2;5
4.9;0.66;0.12;3.1;0.069;21.6;67.2;0.99;3.46;0.64;11.2;5
8.5;0.66;0.38;8.6;0.049;10.3;27.9;0.99;3.04;0.44;11.1;5
7.4;0.5;0.31;4.9;0.051;11.4;30.5;0.99;3.29;0.55;12.0;6
7.1;0.45;0.15;3.2;0.102;10.6;36.3;0.99;3.4;0.74;11.5;6
6.7;0.3;0.32;3.6;0.025;25.0;96.9;0.99;3.36;0.69;11.3;6
8.3;0.42;0.42;7.7;0.134;12.6;59.2;0.99;3.2;0.8;10.5;5
6.9;0.66;0.28;2.4;0.062;1.0;6.0;0.99;3.41;0.63;12.1;6
8.7;0.3;0.28;2.0;0.08;15.4;75.4;0.99;3.18;0.67;10.7;6
9.1;0.47;0.41;10.5;0.024;1.0;6.0;0.99;3.31;0.56;10.1;5
7.8;0.66;0.15;6.0;0.086;38.7;146.3;0.99;3.41;0.6;11.5;5
7.7;0.57;0.42;2.0;0.072;5.8;13.1;0.99;3.38;0.46;9.9;5
8.6;0.57;0.38;2.6;0.085;14.2;41.0;0.99;3.21;0.66;13.3;6
8.3;0.53;0.19;2.3;0.156;18.6;57.7;0.99;3.49;0.69;11.5;6
10.6;0.7;0.18;1.4;0.095;12.9;44.6;0.99;3.32;0.64;11.3;5
8.8;0.58;0.2;8.9;0.05;12.8;50.6;0.99;3.42;0.86;10.4;5
10.2;0.55;0.1;2.3;0.054;20.3;77.7;0.99;3.54;0.88;11.1;6
9.3;0.41;0.31;6.2;0.115;31.8;101.9;0.99;3.48;0.62;11.1;6
6.1;0.54;0.19;1.5;0.148;23.9;73.8;0.99;3.48;0.5;11.0;6
7.4;0.44;0.31;3.0;0.1;31.3;100.4;0.99;3.34;0.69;11.9;6
8.2;0.5;0.12;1.1;0.119;4.9;16.0;0.99;3.43;0.69;10.6;5
9.8;0.64;0.34;4.6;0.116;19.2;65.1;0.99;3.34;0.56;11.8;5
11.6;0.57;0.35;3.2;0.154;17.5;51.7;0.99;3.13;0.62;13.5;6
7.5;0.79;0.15;3.5;0.012;19.5;70.9;0.99;3.36;0.76;10.4;4
8.4;0.64;0.32;1.1;0.118;30.3;128.7;0.99;3.35;0.67;11.5;6
9.7;0.5;0.32;1.6;0.133;13.6;42.6;0.99;3.4;0.82;12.1;7
8.2;0.31;0.43;1.2;0.024;11.6;36.3;0.99;3.29;0.61;12.8;6
11.1;0.73;0.15;1.9;0.045;21.5;80.8;0.99;3.2;0.64;10.9;5
6.0;0.57;0.26;3.5;0.047;1.0;6.0;0.99;3.41;0.67;10.7;6
9.5;0.47;0.19;3.1;0.053;13.4;53.6;0.99;3.11;0.58;10.0;5
9.4;0.55;0.28;3.4;0.064;14.5;43.6;0.99;3.53;0.82;11.4;6
10.3;0.31;0.36;3.0;0.098;6.2;40.0;0.99;3.28;0.61;11.4;7
8.4;0.61;0.18;1.8;0.128;26.9;97.6;0.99;3.35;0.68;12.6;5
9.8;0.28;0.27;1.7;0.138;4.8;10.6;0.99;3.39;0.71;13.2;7
7.9;0.33;0.41;1.4;0.048;14.4;44.5;0.9908;3.4;0.79;11.0;7
6.9;0.62;0.39;5.7;0.047;18.9;61.0;0.99;3.1;0.62;10.4;5
6.7;0.66;0.3;3.4;0.149;30.0;118.7;0.99;3.43;0.74;11.1;5
5.8;0.58;0.24;1.5;0.117;15.8;42.6;0.99;3.36;0.56;12.1;5
7.5;0.59;0.2;1.5;0.091;25.7;83.3;0.99;3.21;0.72;10.6;4
8.8;0.34;0.3;6.2;0.109;23.2;75.6;0.99;3.2;0.65;10.5;5
7.9;0.46;0.3;4.4;0.086;17.2;60.0;0.99;3.26;0.57;11.4;6
8.6;0.6;0.09;3.7;0.112;4.5;13.0;0.99;3.12;0.72;10.5;5
10.4;0.52;0.31;2.3;0.071;1.0;6.0;0.99;3.57;0.63;11.5;5
7.4;0.48;0.19;1.8;0.1;17.0;55.5;0.99;3.53;0.53;10.8;6
12.3;0.6;0.08;10.7;0.016;10.2;34.7;0.99;3.38;0.63;10.2;4
9.6;0.45;0.11;5.0;0.055;25.5;83.0;0.99;3.28;0.8;12.3;6
8.0;0.56;0.23;1.9;0.055;23.7;89.8;0.99;3.28;0.78;10.4;5
7.9;0.52;0.15;5.7;0.069;13.9;57.8;0.99;3.42;0.61;9.8;5
6.6;0.62;0.05;4.6;0.043;3.8;12.5;0.99;3.57;0.71;11.5;6
8.3;0.26;0.24;1.9;0.062;21.2;76.5;0.99;3.22;0.71;11.1;6
4.6;0.36;0.26;2.4;0.016;5.2;6.0;0.99;3.14;0.9;12.2;7
10.4;0.39;0.27;1.5;0.113;7.9;23.4;0.99;3.54;0.62;11.7;6
4.6;0.5;0.22;1.3;0.083;5.6;29.6;0.99;3.04;0.65;11.4;6
8.4;0.56;0.43;4.2;0.012;14.4;46.2;0.99;3.16;0.57;11.0;5
6.4;0.71;0.3;1.8;0.048;28.1;91.0;0.99;3.27;0.51;10.4;5
7.1;0.68;0.23;5.3;0.103;15.8;78.1;0.99;3.08;0.72;11.5;6
7.3;0.4;0.27;14.6;0.061;11.2;57.4;0.99;3.48;0.86;12.1;6
11.6;0.34;0.48;1.2;0.054;1.0;8.2;0.99;3.44;0.78;11.4;8
6.4;0.57;0.35;2.6;0.083;21.6;87.0;0.99;3.22;0.56;11.0;5
9.9;0.47;0.11;5.0;0.103;7.7;6.0;0.99;3.5;0.67;11.8;5
10.3;0.54;0.18;4.9;0.019;17.1;52.0;0.99;3.53;0.76;11.8;6
4.6;0.53;0.17;4.6;0.113;12.2;38.0;0.99;3.29;0.63;12.0;5
7.3;0.3;0.27;2.1;0.049;24.6;83.7;0.99;3.24;0.89;11.3;7
10.8;0.45;0.22;2.5;0.086;14.2;44.8;0.99;3.65;0.62;9.9;6
6.1;0.45;0.25;3.3;0.085;15.3;28.0;0.99;3.42;0.62;11.2;5
10.3;0.58;0.35;10.1;0.062;21.0;77.4;0.99;3.35;0.73;11.7;6
8.3;0.67;0.37;2.0;0.039;37.9;138.1;0.99;3.51;0.74;12.5;6
8.2;0.57;0.22;7.4;0.074;25.2;104.2;0.99;3.36;0.65;12.0;5
8.4;0.42;0.15;1.8;0.163;14.9;44.3;0.99;3.23;0.62;12.2;7
8.9;0.5;0.18;12.3;0.023;15.9;46.9;0.99;3.32;0.93;12.0;6
6.7;0.6;0.23;3.8;0.167;10.4;9.6;0.99;3.47;0.68;11.2;6
7.9;0.67;0.13;2.6;0.075;5.9;17.7;0.99;3.01;0.66;10.0;5
8.9;0.4;0.42;3.4;0.089;10.1;44.4;0.99;3.27;0.81;11.9;7
8.6;0.58;0.13;1.8;0.036;7.8;21.2;0.99;3.52;0.59;11.8;5
8.9;0.69;0.28;1.8;0.051;22.7;100.9;0.99;3.23;0.61;11.1;4
7.1;0.3;0.14;1.3;0.063;4.7;13.9;0.99;3.54;0.68;12.5;7
9.4;0.67;0.32;1.3;0.038;29.8;105.8;0.99;3.52;0.69;10.7;5
8.5;0.72;0.24;2.1;0.077;23.7;69.3;0.99;3.3;0.62;10.8;5
5.6;0.53;0.46;4.6;0.068;16.1;59.2;0.99;3.22;0.78;12.2;7
7.4;0.29;0.2;3.3;0.174;15.9;35.9;0.99;3.27;0.65;11.4;7
6.8;0.28;0.22;1.3;0.032;10.0;41.9;0.99;3.71;0.62;11.0;6
6.8;0.55;0.24;5.8;0.092;18.7;72.7;0.99;3.59;0.56;11.6;6
7.5;0.47;0.23;3.3;0.099;27.3;109.1;0.99;3.33;0.58;11.6;5
9.3;0.58;0.22;9.1;0.037;8.5;19.6;0.99;3.22;0.39;10.8;5
7.2;0.7;0.22;3.8;0.119;1.0;6.0;0.99;3.33;0.62;10.1;5
8.7;0.41;0.25;1.5;0.068;23.2;86.8;0.99;3.35;0.65;10.8;6
8.4;0.44;0.07;2.6;0.012;19.3;72.0;0.99;3.12;0.72;11.6;6
7.0;0.51;0.38;3.6;0.118;4.2;6.0;0.99;3.32;0.7;11.6;6
7.7;0.35;0.57;1.1;0.035;8.2;6.0;0.99;3.51;0.83;11.6;6
9.8;0.47;0.28;1.0;0.038;6.9;27.6;0.99;3.04;0.91;11.4;5
8.6;0.48;0.17;1.3;0.119;8.3;27.5;0.99;3.43;0.81;11.4;6
9.2;0.52;0.15;1.7;0.071;12.5;38.1;0.99;3.52;0.6;11.2;5
10.5;0.54;0.34;2.4;0.13;13.1;53.5;0.99;3.23;0.65;11.4;6
9.0;0.83;0.29;2.7;0.144;9.1;31.4;0.99;3.56;0.74;11.9;5
5.0;0.42;0.28;1.4;0.057;7.9;14.5;0.99;3.21;0.58;12.9;7
8.8;0.47;0.33;3.8;0.124;13.5;27.9;0.99;3.38;0.62;10.0;5
7.2;0.69;0.04;3.3;0.051;17.6;50.3;0.99;3.26;0.63;10.8;5
11.4;0.39;0.33;1.9;0.192;12.6;68.0;0.99;3.26;0.71;11.0;5
9.0;0.34;0.3;1.0;0.054;28.0;105.2;0.99;3.22;0.76;11.2;6
7.3;0.42;0.18;1.2;0.135;21.2;76.1;0.99;3.41;0.63;12.8;6
9.3;0.52;0.11;2.2;0.127;1.0;6.0;0.99;3.44;0.61;11.2;5
8.5;0.49;0.26;1.4;0.102;21.3;72.1;0.99;3.3;0.69;10.4;5
5.4;0.48;0.42;2.2;0.055;22.2;89.4;0.99;3.11;0.62;11.9;6
9.8;0.58;0.23;3.5;0.08;11.3;34.6;0.99;3.37;0.77;11.2;5
7.6;0.59;0.19;3.0;0.012;1.0;9.3;0.99;3.37;0.76;11.6;6
10.7;0.49;0.3;1.7;0.098;16.0;52.5;0.99;3.28;0.72;12.8;6
8.1;0.49;0.43;2.1;0.103;15.8;74.7;0.99;3.59;0.69;11.3;5
10.7;0.65;0.29;3.4;0.093;4.1;21.8;0.99;3.08;0.6;10.8;5
9.0;0.33;0.36;5.9;0.012;1.0;16.0;0.99;2.98;0.69;10.2;7
10.0;0.39;0.37;4.5;0.028;15.0;46.7;0.99;3.2;0.61;10.9;5
7.5;0.67;0.3;3.0;0.052;13.4;57.5;0.99;3.42;0.7;12.0;5
8.9;0.59;0.2;2.1;0.101;11.5;37.1;0.99;3.15;0.72;11.3;6
5.4;0.33;0.14;2.1;0.101;15.0;53.6;0.99;3.16;0.71;10.0;7
8.1;0.37;0.22;6.3;0.079;4.3;31.4;0.99;3.45;0.82;11.4;7
5.8;0.39;0.17;1.1;0.117;11.3;29.1;0.99;3.38;0.68;12.2;6
6.4;0.58;0.32;12.1;0.039;21.4;76.9;0.99;3.37;0.58;11.4;5
6.8;0.72;0.33;3.7;0.116;12.2;47.1;0.99;3.43;0.68;10.3;5
9.4;0.55;0.3;3.9;0.109;1.0;8.7;0.99;3.25;0.6;10.9;6
8.0;0.58;0.15;1.1;0.105;10.9;33.6;0.99;3.25;0.53;11.1;6
8.4;0.63;0.43;3.3;0.078;4.7;37.3;0.99;3.43;0.65;10.5;5
8.0;0.41;0.27;2.7;0.173;18.7;52.5;0.99;3.11;0.68;10.2;7
10.1;0.66;0.31;1.3;0.11;19.2;81.8;0.99;2.99;0.62;11.6;5
8.3;0.55;0.28;1.8;0.041;1.0;15.7;0.99;3.25;0.6;12.4;6
8.7;0.76;0.24;6.5;0.099;23.8;102.3;0.99;3.45;0.72;9.4;4
7.3;0.43;0.34;3.0;0.122;4.2;6.0;0.99;3.35;0.63;12.4;6
10.3;0.38;0.18;2.3;0.059;32.2;104.0;0.99;3.44;0.61;10.9;5
10.4;0.65;0.38;1.2;0.138;15.4;68.8;0.99;3.01;0.69;12.0;5
8.2;0.58;0.09;4.1;0.105;2.8;6.0;0.99;3.36;0.51;11.0;5
7.3;0.45;0.18;4.0;0.012;3.9;6.0;0.99;3.41;0.55;11.5;6
5.6;0.46;0.41;3.4;0.101;19.5;63.4;0.99;3.11;0.74;11.7;6
6.8;0.74;0.34;2.8;0.068;11.8;43.2;0.99;3.44;0.66;10.8;6
4.6;0.35;0.56;2.4;0.112;14.9;68.1;0.99;3.29;0.66;12.8;7
6.8;0.46;0.26;3.2;0.131;32.7;112.6;0.99;3.77;0.71;10.1;5
8.9;0.56;0.42;1.7;0.096;8.6;24.0;0.99;2.98;0.57;10.7;5
8.2;0.53;0.12;8.1;0.165;16.5;60.9;0.99;3.52;0.72;12.2;7
12.2;0.78;0.11;3.2;0.079;30.7;112.1;0.99;3.25;0.56;10.6;5
7.7;0.48;0.4;1.9;0.116;18.7;69.9;0.99;3.07;0.78;12.4;7
7.5;0.49;0.05;2.5;0.125;1.0;6.0;0.99;3.23;0.73;11.7;4
10.1;0.61;0.29;5.1;0.082;21.2;54.6;0.99;3.35;0.56;12.6;7
5.0;0.55;0.37;1.4;0.124;3.7;6.0;0.99;3.47;0.66;9.5;5
5.8;0.33;0.36;1.9;0.059;30.6;121.3;0.99;3.57;0.84;11.9;7
9.4;0.37;0.28;3.8;0.067;7.3;27.4;0.99;3.52;0.66;12.2;6
8.0;0.42;0.3;1.9;0.025;46.9;160.9;0.99;3.17;0.69;11.1;8
8.0;0.57;0.27;4.9;0.098;31.2;120.4;0.99;3.48;0.69;11.6;5
6.7;0.51;0.34;1.3;0.102;7.5;14.9;0.99;3.37;0.8;11.9;6
8.7;0.54;0.24;4.6;0.142;16.1;54.1;0.99;3.21;0.84;10.8;7
6.9;0.4;0.32;1.2;0.124;23.8;84.7;0.99;3.28;0.74;12.1;6
8.4;0.62;0.39;1.0;0.074;24.1;79.9;0.99;3.2;0.71;11.6;6
6.3;0.43;0.26;6.7;0.032;20.5;72.8;0.99;3.32;0.61;11.9;6
8.0;0.77;0.26;3.2;0.107;29.0;99.6;0.99;3.2;0.74;10.2;5
11.7;0.54;0.33;2.1;0.139;14.6;37.1;0.99;3.16;0.78;11.5;6
7.6;0.39;0.34;1.7;0.122;12.0;43.8;0.99;3.38;0.59;10.0;6
8.1;0.21;0.4;3.4;0.138;12.2;29.4;0.99;3.4;0.79;10.0;7
8.0;0.63;0.15;2.8;0.077;24.8;88.5;0.99;3.28;0.72;11.1;5
8.6;0.51;0.2;12.9;0.065;19.7;82.7;0.99;3.52;0.74;11.9;5
9.1;0.39;0.26;11.2;0.052;18.9;63.3;0.99;3.27;0.74;12.0;7
8.7;0.49;0.22;3.5;0.084;24.2;73.0;0.99;3.26;0.66;11.7;7
8.8;0.65;0.07;2.5;0.083;1.0;6.0;0.99;3.41;0.6;10.8;5
8.0;0.6;0.0;2.7;0.097;19.1;58.5;0.99;3.29;0.6;10.6;6
8.5;0.43;0.37;3.9;0.081;18.2;69.6;0.99;3.32;0.64;10.8;5
7.9;0.69;0.09;1.3;0.081;33.3;115.1;0.99;2.93;0.63;11.3;5
5.2;0.49;0.41;2.0;0.05;1.0;20.6;0.99;3.31;0.86;10.7;5
12.8;0.32;0.32;1.2;0.131;32.2;124.3;0.99;3.04;0.74;11.6;5
9.5;0.36;0.24;1.2;0.091;16.7;56.9;0.99;3.13;0.8;11.6;6
6.6;0.57;0.31;1.5;0.079;21.0;80.7;0.99;3.11;0.7;11.3;5
8.7;0.31;0.35;2.7;0.052;33.4;113.0;0.99;3.15;0.71;12.5;7
6.0;0.4;0.2;4.8;0.024;21.7;76.3;0.99;3.23;0.72;11.4;7
7.5;0.51;0.28;2.7;0.148;20.1;66.7;0.99;3.24;0.68;11.9;6
5.8;0.46;0.18;2.0;0.113;18.4;72.1;0.99;3.41;0.72;11.1;6
8.2;0.5;0.32;1.2;0.012;10.8;52.1;0.99;3.34;0.69;11.3;5
5.6;0.35;0.21;3.0;0.123;15.6;62.6;0.99;3.02;0.7;10.9;6
9.0;0.48;0.27;1.8;0.13;8.4;38.6;0.99;3.32;0.67;10.7;6
9.5;0.34;0.24;3.4;0.093;15.4;63.1;0.99;3.36;0.59;11.1;5
6.9;0.34;0.32;10.5;0.162;1.0;9.0;0.99;3.26;0.61;10.3;7
8.6;0.39;0.45;1.3;0.097;20.4;60.0;0.99;3.3;0.83;11.2;6
6.8;0.39;0.29;1.6;0.02;14.6;68.1;0.99;3.34;0.97;10.5;7
9.2;0.46;0.4;2.6;0.104;12.4;61.4;0.99;3.42;0.82;12.0;6
7.1;0.58;0.33;9.7;0.099;18.2;61.4;0.99;3.07;0.57;12.2;6
9.6;0.71;0.39;4.7;0.059;1.0;6.0;0.99;3.27;0.73;10.3;5
5.2;0.3;0.28;6.7;0.114;36.1;132.5;0.99;3.54;0.85;12.1;7
6.6;0.61;0.38;2.0;0.012;14.8;57.3;0.99;3.52;0.71;12.5;7
6.4;0.47;0.24;13.1;0.134;14.3;48.0;0.99;3.44;0.7;11.7;5
8.6;0.64;0.0;1.3;0.046;5.8;7.8;0.99;3.39;0.55;10.8;4
9.2;0.6;0.14;1.1;0.041;16.1;59.4;0.99;3.56;0.8;11.6;5
8.8;0.72;0.34;5.8;0.082;30.4;111.9;0.99;3.6;0.74;10.9;6
7.4;0.36;0.36;7.6;0.107;26.7;100.7;0.99;3.29;0.66;11.9;7
4.6;0.37;0.12;1.2;0.095;24.8;90.3;0.99;3.16;0.72;10.6;5
8.4;0.63;0.3;1.3;0.052;21.6;72.9;0.99;3.27;0.81;10.8;6
9.6;0.47;0.3;1.1;0.063;12.1;52.3;0.99;3.77;0.67;11.0;5
12.9;0.37;0.31;1.3;0.034;1.0;6.0;0.99;3.07;0.8;12.1;7
7.6;0.37;0.35;1.6;0.076;13.8;43.7;0.99;3.24;0.69;12.3;6
7.2;0.44;0.34;9.8;0.138;13.4;45.1;0.99;3.1;0.59;11.6;6
8.8;0.4;0.28;3.8;0.087;26.8;76.3;0.99;3.33;0.68;11.9;6
7.9;0.62;0.2;4.8;0.127;19.1;65.0;0.99;3.13;0.7;11.5;5
10.5;0.56;0.35;4.7;0.155;32.7;121.3;0.9928;3.29;0.64;13.2;5
6.9;0.48;0.3;2.9;0.059;28.4;102.8;0.99;3.02;0.73;9.6;5
7.9;0.51;0.17;5.0;0.078;11.1;54.1;0.99;3.4;0.71;11.2;7
9.8;0.51;0.3;3.3;0.189;1.0;6.0;0.99;3.49;0.67;12.6;6
8.8;0.16;0.22;1.9;0.155;30.4;111.3;0.99;3.25;0.88;11.9;8
10.3;0.43;0.24;3.1;0.012;30.1;113.3;0.99;3.29;0.82;12.9;8
7.6;0.5;0.21;2.9;0.105;1.6;29.0;0.99;3.29;0.66;11.6;6
10.4;0.62;0.28;5.3;0.087;31.7;112.4;0.99;3.34;0.8;13.1;6
5.5;0.42;0.35;11.0;0.126;19.9;59.2;0.99;3.3;0.68;10.9;7
5.5;0.4;0.24;2.3;0.052;17.6;70.1;0.99;3.43;0.63;12.4;6
10.5;0.53;0.21;4.6;0.048;32.8;133.5;0.99;3.49;0.37;12.4;5
8.3;0.63;0.2;1.3;0.055;29.9;101.4;0.99;3.19;0.59;10.2;5
9.9;0.47;0.35;4.7;0.06;22.7;87.9;0.99;3.26;0.78;11.6;5
8.5;0.37;0.02;2.2;0.125;20.8;85.1;0.99;3.45;0.54;11.0;7
8.3;0.46;0.25;1.1;0.031;22.3;88.2;0.99;3.1;0.6;11.4;6
6.0;0.44;0.4;2.1;0.058;11.7;42.2;0.99;3.01;0.69;10.8;5
8.3;0.4;0.33;3.4;0.012;15.3;46.6;0.99;3.34;0.48;9.5;6
10.6;0.5;0.41;1.3;0.134;6.4;21.6;0.99;3.38;0.65;11.7;6
8.4;0.67;0.05;7.4;0.147;12.4;48.0;0.99;3.2;0.76;11.1;5
9.5;0.58;0.13;1.2;0.072;12.0;51.1;0.99;3.22;0.85;12.2;5
9.4;0.48;0.33;7.6;0.073;9.2;35.5;0.99;3.2;0.73;11.9;6
6.6;0.4;0.44;4.1;0.108;17.3;56.8;0.99;3.18;0.61;13.2;6
9.8;0.59;0.17;2.0;0.156;12.5;49.3;0.99;3.41;0.6;11.5;6
7.8;0.52;0.24;2.2;0.106;21.1;82.5;0.99;3.13;0.71;11.3;6
7.9;0.41;0.32;4.4;0.054;1.0;7.3;0.99;3.27;0.73;11.3;6
11.9;0.57;0.13;3.3;0.012;14.7;43.1;0.99;3.17;0.89;11.0;6
9.3;0.54;0.33;3.8;0.035;17.2;58.4;0.99;3.09;0.8;9.6;6
7.2;0.33;0.04;2.2;0.09;12.6;53.6;0.99;3.44;0.76;11.6;7
8.4;0.54;0.3;2.7;0.056;14.1;35.5;0.99;3.23;0.62;9.3;5
8.4;0.5;0.15;12.5;0.096;1.0;6.0;0.99;3.34;0.95;11.4;5
11.2;0.88;0.18;1.6;0.061;19.6;83.7;0.99;3.08;0.66;9.6;4
8.4;0.53;0.35;2.4;0.037;22.6;84.2;0.99;3.2;0.63;10.7;6
12.1;0.5;0.32;1.9;0.032;21.0;79.6;0.99;3.42;0.68;10.9;6
6.1;0.53;0.28;4.6;0.16;26.7;82.7;0.99;3.7;0.61;11.2;6
8.2;0.69;0.35;4.6;0.129;18.0;70.4;0.99;3.01;0.41;11.0;5
7.0;0.54;0.08;1.9;0.168;20.9;75.9;0.99;3.28;0.68;11.9;5
7.5;0.56;0.24;1.2;0.112;17.5;45.4;0.99;3.37;0.78;10.1;4
7.5;0.63;0.17;1.0;0.067;23.1;95.1;0.99;3.22;0.49;11.4;5
7.1;0.46;0.37;2.4;0.149;1.0;6.0;0.99;3.44;0.71;13.6;6
11.2;0.44;0.32;2.3;0.085;6.5;18.8;0.99;3.18;0.58;11.3;5
10.7;0.42;0.32;12.1;0.097;32.5;110.0;0.99;3.33;0.7;10.9;5
9.0;0.56;0.47;2.6;0.085;1.0;6.0;0.99;3.23;0.73;11.2;7
7.5;0.56;0.36;1.7;0.012;14.4;56.3;0.99;3.49;0.51;10.8;5
7.1;0.42;0.26;6.5;0.162;28.1;101.0;0.9903;3.21;0.6;10.7;6
9.6;0.46;0.28;2.7;0.11;14.9;50.2;0.99;3.26;0.62;11.6;6
8.8;0.63;0.31;3.3;0.103;11.6;53.4;0.99;3.45;0.78;11.1;5
8.1;0.45;0.29;1.3;0.084;17.2;46.4;0.9906;3.16;0.83;9.7;6
9.2;0.34;0.35;2.2;0.095;12.2;36.7;0.99;3.32;0.67;11.4;6
9.8;0.44;0.09;8.2;0.059;16.2;48.2;0.99;3.04;0.87;12.7;7
8.0;0.67;0.44;3.2;0.116;8.7;27.7;0.99;3.15;0.63;10.7;5
7.0;0.52;0.32;2.1;0.026;27.5;96.9;0.99;3.37;0.72;11.3;7
6.1;0.42;0.12;3.5;0.096;30.8;112.1;0.99;3.16;0.71;10.3;6
8.7;0.68;0.16;7.0;0.113;14.5;47.3;0.99;3.23;0.68;9.5;5
12.0;0.57;0.04;1.8;0.078;1.4;6.0;0.99;3.38;0.59;11.7;5
6.4;0.53;0.2;2.8;0.104;10.4;53.3;0.99;3.22;0.75;11.7;7
10.2;0.54;0.27;9.0;0.04;13.9;72.8;0.99;3.43;0.78;12.0;6
7.2;0.4;0.4;1.5;0.042;21.2;75.6;0.99;3.34;0.66;12.2;5
7.5;0.65;0.32;4.2;0.098;5.3;11.0;0.99;3.38;0.7;12.1;6
9.9;0.56;0.27;3.4;0.119;7.8;42.1;0.99;3.5;0.7;10.6;5
7.9;0.61;0.14;3.8;0.012;21.2;59.7;0.99;3.36;0.72;11.1;5
8.7;0.42;0.17;2.1;0.112;25.7;86.6;0.99;3.54;0.64;10.5;5
8.7;0.6;0.18;1.9;0.061;9.4;25.9;0.99;3.45;0.6;10.4;5
7.2;0.66;0.18;3.9;0.078;1.9;6.0;0.99;3.23;0.67;11.3;5
9.8;0.74;0.21;1.6;0.024;50.2;172.9;0.99;3.5;0.49;10.3;5
8.2;0.62;0.25;2.4;0.047;24.1;75.7;0.99;3.35;0.68;9.6;6
5.9;0.61;0.22;1.5;0.132;13.1;46.0;0.99;3.25;0.4;10.3;5
6.8;0.4;0.18;1.0;0.089;25.0;87.8;0.99;3.35;0.48;10.8;5
4.6;0.42;0.32;9.8;0.069;14.6;44.9;0.99;3.48;0.57;13.0;7
8.4;0.42;0.25;2.4;0.082;24.9;83.4;0.99;3.38;0.8;11.0;6
10.5;0.5;0.12;9.7;0.11;17.5;58.9;0.99;3.58;0.7;11.8;6
6.5;0.43;0.25;1.4;0.108;16.8;66.9;0.99;3.47;0.52;10.9;5
9.3;0.53;0.24;3.2;0.083;14.7;50.0;0.99;3.39;0.7;12.0;5
9.0;0.5;0.09;1.6;0.138;1.0;11.7;0.99;3.16;0.75;11.9;5
7.0;0.5;0.19;4.9;0.133;36.1;132.2;0.99;3.28;0.7;11.9;5
10.9;0.5;0.31;4.8;0.106;6.0;26.7;0.99;3.32;0.63;9.6;5
7.8;0.54;0.14;1.3;0.09;1.6;19.5;0.99;3.41;0.67;11.2;5
